item_id,metal,item_category,item_name,current_stock_pcs,avg_weight_per_pc,total_stock_weight,current_rate,stock_value,stock_status,last_purchase_date,last_sale_date,avg_monthly_sales,months_of_stock,reorder_level,reorder_quantity,supplier_lead_days,total_sold_3yr,revenue_3yr,revenue_contribution,cumulative_revenue,cumulative_pct,abc_category
INV0174,Silver,Pooja Items,AARTI EK TOK,7,3.12,21.84,93,2031.12,Normal,2024-12-16,2024-12-24,5.31,1.32,6,14,11,191,48518.49,48518.49,125718497.22000006,99.03048749259523,C
INV0053,Gold,Other,KOI,42,0.06,2.43,7220,17544.6,Dead Stock,2024-04-18,2024-11-28,3.75,11.2,4,10,6,135,48450.48,48450.48,125766947.70000006,99.06865271696357,C
INV0133,Silver,Other,GHODA,19,2.81,53.32,93,4958.76,Excess,2024-07-09,2024-12-29,5.81,3.27,6,15,12,209,47856.75,47856.75,125814804.45000006,99.1063502506369,C
INV0147,Silver,Anklets,"CHAL F 9""",4,3.45,13.8,93,1283.4,Low,2024-10-18,2024-12-29,4.67,0.86,5,12,12,168,46906.33,46906.33,125861710.78000006,99.14329912315054,C
INV0035,Gold,Other,MANI K 400MG,2,0.05,0.11,7220,794.2,Low,2024-10-27,2024-12-26,3.86,0.52,4,10,9,139,45670.17,45670.17,125907380.95000006,99.17927425249889,C
INV0122,Silver,Chains,KADADORA BALL,13,2.9,37.74,93,3509.82,Normal,2024-10-06,2024-12-28,5.44,2.39,6,14,6,196,44711.28,44711.28,125952092.23000006,99.21449404873198,C
INV0022,Gold,Rings,MUDDI TAR,19,0.05,1.04,7220,7508.8,Excess,2024-07-22,2024-12-25,3.42,5.56,4,9,3,123,43423.19,43423.19,125995515.42000006,99.24869919570139,C
INV0082,Gold,Other,BALANGATHI,17,0.05,0.87,7220,6281.4,Excess,2024-10-18,2024-12-13,3.69,4.6,4,10,6,133,42877.41,42877.41,126038392.83000006,99.282474422964,C
INV0100,Silver,Anklets,PAYAL ADJ,5,2.85,14.23,93,1323.39,Normal,2024-11-03,2024-12-31,4.97,1.01,5,13,10,179,41857.74,41857.74,126080250.57000005,99.31544643972525,C
INV0087,Silver,Ornaments,VALE SELAM,7,3.05,21.35,93,1985.55,Normal,2024-11-13,2024-12-23,4.69,1.49,5,12,10,169,41615.91,41615.91,126121866.48000005,99.34822796309597,C
INV0120,Silver,Chains,KADADORA SAKALI,34,2.19,74.37,93,6916.41,Excess,2024-10-25,2024-12-31,6.47,5.25,7,17,12,233,40324.99,40324.99,126162191.47000004,99.37999260796636,C
INV0145,Silver,Anklets,CHALLA,13,2.99,38.87,93,3614.91,Normal,2024-10-25,2024-12-26,4.64,2.8,5,12,10,167,40316.36,40316.36,126202507.83000004,99.4117504548466,C
INV0135,Silver,Utensils,GANDH PLATE,9,2.7,24.28,93,2258.04,Normal,2024-10-24,2024-12-30,4.92,1.83,5,13,5,177,36490.1,36490.1,126238997.93000004,99.44049429502574,C
INV0095,Silver,Idols,SHIVLING,69,2.17,149.98,93,13948.14,Dead Stock,2024-06-02,2024-12-29,5.89,11.72,6,15,14,212,36057.67,36057.67,126275055.60000004,99.46889750312087,C
INV0169,Silver,Other,BICHVA,4,2.59,10.36,93,963.48,Low,2024-10-20,2024-12-23,4.64,0.86,5,12,6,167,35492.43,35492.43,126310548.03000005,99.49685546255341,C
INV0094,Silver,Other,SL LOOSE ITEM,8,2.42,19.34,93,1798.62,Normal,2024-10-31,2024-12-20,4.94,1.62,5,13,14,178,34859.01,34859.01,126345407.04000005,99.52431446683796,C
INV0136,Silver,Other,GAI VASRU,25,2.64,65.98,93,6136.14,Excess,2024-07-25,2024-12-26,4.61,5.42,5,12,9,166,34744.3,34744.3,126380151.34000005,99.55168311220577,C
INV0020,Gold,Other,MUGAVAT,8,0.05,0.43,7220,3104.6,Normal,2024-12-17,2024-12-21,2.81,2.85,3,8,5,101,34523.01,34523.01,126414674.35000005,99.57887744387224,C
INV0144,Silver,Other,CHAMCHA,14,1.97,27.53,93,2560.29,Normal,2024-11-13,2024-11-30,5.72,2.45,6,15,14,206,33366.73,33366.73,126448041.08000006,99.60516095513752,C
INV0105,Silver,Other,NAG MACHINE,11,2.08,22.88,93,2127.84,Normal,2024-12-07,2024-12-31,4.83,2.28,5,13,14,174,29760.97,29760.97,126477802.05000006,99.62860415110728,C
INV0119,Silver,Chains,KADALI,40,1.49,59.54,93,5537.22,Dead Stock,2024-09-24,2024-12-27,6.64,6.03,7,17,11,239,27738.17,27738.17,126505540.22000006,99.65045395489905,C
INV0101,Silver,Other,PAN NARAL,13,2.22,28.9,93,2687.7,Excess,2024-10-28,2024-12-31,4.33,3.0,5,11,6,156,27155.02,27155.02,126532695.24000005,99.67184440203242,C
INV0042,Gold,Other,MANI DHANA,5,0.03,0.16,7220,1155.2,Normal,2024-11-20,2024-12-24,4.0,1.25,4,10,8,144,27041.89,27041.89,126559737.13000005,99.69314573484054,C
INV0121,Silver,Chains,KADADORA GOAF,16,1.79,28.62,93,2661.66,Excess,2024-12-13,2024-12-30,5.06,3.16,6,13,12,182,26115.74,26115.74,126585852.87000005,99.71371752435934,C
INV0028,Gold,Other,MANI V 100MG,6,0.04,0.22,7220,1588.4,Normal,2024-12-01,2024-11-16,3.03,1.98,4,8,5,109,25282.09,25282.09,126611134.96000005,99.73363263433039,C
INV0098,Silver,Other,PRATIMA..,11,1.62,17.88,93,1662.84,Normal,2024-12-13,2024-12-15,4.47,2.46,5,12,12,161,21318.91,21318.91,126632453.87000005,99.75042588350848,C
INV0018,Gold,Nose Items,NATHANI,13,0.03,0.4,7220,2888.0,Excess,2024-11-14,2024-12-31,3.06,4.25,4,8,3,110,20491.33,20491.33,126652945.20000005,99.7665672345757,C
INV0045,Gold,Other,MANI ASTAPAILU 16MG,6,0.02,0.12,7220,866.4,Normal,2024-12-16,2024-12-29,4.36,1.38,5,11,3,157,20031.18,20031.18,126672976.38000005,99.78234611806793,C
INV0084,Silver,Ornaments,VEDANI NAKSHI,8,1.17,9.33,93,867.69,Normal,2024-10-29,2024-12-29,5.86,1.36,6,15,8,211,20018.02,20018.02,126692994.40000005,99.79811463521595,C
INV0170,Silver,Anklets,BARSE CHAL,5,1.29,6.47,93,601.71,Low,2024-10-26,2024-12-30,5.17,0.97,6,13,14,186,19963.28,19963.28,126712957.68000005,99.81384003278328,C
INV0103,Silver,Other,PADUKA,10,1.45,14.5,93,1348.5,Normal,2024-12-07,2024-12-28,4.69,2.13,5,12,11,169,19756.35,19756.35,126732714.03000005,99.8294024282528,C
INV0165,Silver,Bracelets,BRACELET L MICRO,29,1.35,39.2,93,3645.6,Excess,2024-09-05,2024-12-23,4.89,5.93,5,13,9,176,19439.36,19439.36,126752153.39000005,99.84471512558784,C
INV0164,Silver,Bracelets,BRACELET SMALL,16,1.23,19.68,93,1830.24,Excess,2024-11-08,2024-12-16,5.14,3.11,6,13,7,185,18382.23,18382.23,126770535.62000005,99.85919510457546,C
INV0102,Silver,Other,PALNA,20,1.36,27.3,93,2538.9,Excess,2024-10-29,2024-12-27,4.53,4.42,5,12,8,163,18073.23,18073.23,126788608.85000005,99.87343167928042,C
INV0034,Gold,Other,MANI K 50MG,8,0.02,0.14,7220,1010.8,Normal,2024-12-23,2024-12-15,4.08,1.96,5,11,9,147,17909.27,17909.27,126806518.12000005,99.88753910004947,C
INV0142,Silver,Other,COIN,5,1.3,6.5,93,604.5,Normal,2024-11-11,2024-12-28,4.67,1.07,5,12,10,168,17835.2,17835.2,126824353.32000005,99.90158817468514,C
INV0128,Silver,Ornaments,JODAVI FANCY,37,0.7,25.92,93,2410.56,Excess,2024-10-07,2024-12-31,8.14,4.55,9,21,13,293,16824.09,16824.09,126841177.41000006,99.91484078166948,C
INV0166,Silver,Bracelets,BRACELET J MICRO,35,1.14,40.04,93,3723.72,Dead Stock,2024-06-10,2024-12-15,5.0,7.0,5,13,8,180,16416.55,16416.55,126857593.96000005,99.92777236282417,C
INV0106,Silver,Other,NAG HANDMADE,12,1.07,12.87,93,1196.91,Normal,2024-10-05,2024-12-12,5.25,2.29,6,14,14,189,15852.44,15852.44,126873446.40000005,99.9402595854355,C
INV0139,Silver,Other,FLOWER,11,1.17,12.87,93,1196.91,Normal,2024-10-15,2024-12-13,4.42,2.49,5,12,12,159,15027.84,15027.84,126888474.24000005,99.95209725733001,C
INV0168,Silver,Other,BINDALI,16,0.81,12.97,93,1206.21,Normal,2024-12-23,2024-12-31,5.58,2.87,6,14,8,201,13311.41,13311.41,126901785.65000005,99.96258286963578,C
INV0140,Silver,Other,FINGER RING,42,0.48,20.19,93,1877.67,Excess,2024-07-10,2024-12-31,7.06,5.95,8,18,10,254,9942.08,9942.08,126911727.73000005,99.97041440636953,C
INV0141,Silver,Other,DABE,0,0.72,0.0,93,0.0,Critical,2024-12-16,2024-12-19,4.28,0.0,5,11,7,154,8955.43,8955.43,126920683.16000006,99.97746874298838,C
INV0083,Silver,Ornaments,VEDANI PLANE,10,0.54,5.36,93,498.48,Normal,2024-11-04,2024-12-29,5.19,1.93,6,13,5,187,8075.31,8075.31,126928758.47000006,99.98382979489115,C
INV0099,Silver,Other,PILE,4,0.51,2.05,93,190.65,Low,2024-11-02,2024-12-22,4.72,0.85,5,12,10,170,6890.01,6890.01,126935648.48000006,99.98925716687074,C
INV0117,Silver,Other,KANBATLA,30,0.36,10.92,93,1015.56,Excess,2024-11-27,2024-12-24,5.36,5.6,6,14,12,193,5673.87,5673.87,126941322.35000007,99.99372656576189,C
INV0129,Silver,Other,HAST,3,0.29,0.86,93,79.98,Low,2024-10-16,2024-12-26,5.31,0.57,6,14,14,191,4412.22,4412.22,126945734.57000007,99.9972021426037,C
INV0110,Silver,Other,LOCKET SL,31,0.18,5.69,93,529.17,Excess,2024-12-01,2024-12-23,6.67,4.65,7,17,12,240,3551.86,3551.86,126949286.43000007,100.00000000000004,C
